Month,Associate ID,Associate Name,Grade Description,OnOff
1/1/2016,597630,IRGINPantina,Contractor,Onsite
1/1/2016,845026,ALLACE   Konada,Contractor,Onsite
1/1/2016,817313,ILBUR V,Contractor,Offshore
1/1/2016,440105,ILLIE Reid,Contractor,Onsite
1/1/2016,464792,ENDELL  Koduri,Contractor,Onsite
1/1/2016,845696,ILMA    Bellam,Contractor,Onsite
1/1/2016,547468,IRGINILatif,Contractor,Onsite
1/1/2016,738767,IRGI RAMON  Nadimpalli,Contractor,Onsite
1/1/2016,699532,ILMA   Jayabalan,Contractor,Offshore
1/1/2016,644704,IRGINIA   Syed,Contractor,Onsite
1/1/2016,484695,IRGINTirupati,Contractor,Onsite
1/1/2016,345529,ENDELL Birla,Contractor,Onsite
1/1/2016,353774,ERALDOJohnson,Contractor,Onsite
1/1/2016,350264,ESLEY Dhanuka,Contractor,Onsite
1/1/2016,364670,IRGINISandhu,Contractor,Onsite
1/1/2016,268150,VONNE  HEATHAnksapuram,Contractor,Onsite
1/1/2016,888783,IRGINIA    M,Contractor,Offshore
1/1/2016,851240,ILMA   Davuluri,Contractor,Onsite
1/1/2016,796613,ILMA    HEATHRamaraju,Contractor,Onsite
1/1/2016,872898,ENDEL HEATHKarney,Contractor,Onsite
1/1/2016,600772,ILLIAMAkkineni,Contractor,Onsite
1/1/2016,313610,OLUMBUSYarlagadda,Contractor,Onsite
1/1/2016,279434,IRGINISharma,Contractor,Onsite
1/1/2016,781970,ILLIBansal,Contractor,Onsite
1/1/2016,670267,AYNE        Krishnamoorthy,Contractor,Onsite
1/1/2016,387555,ILLIAKondapally,Contractor,Onsite
1/1/2016,917369,ALTEDenilofs,Contractor,Onsite
1/1/2016,624549,IRGINIChukhadarian,Contractor,Onsite
1/1/2016,171059,IRGINIA      Valluru,Contractor,Onsite
1/1/2016,945423,IRGIN SIDNEY      Sanubala,Contractor,Onsite
1/1/2016,505582,AYNE      Singh,Contractor,Offshore
1/1/2016,210425,IRGINIA  Vantare,Contractor,Onsite
1/1/2016,311922,VONNE HEATHNagbhairava,Contractor,Onsite
1/1/2016,779777,IRGINIAMughal,Contractor,Onsite
2/1/2016,597630,IRGINPantina,Contractor,Onsite
2/1/2016,845026,ALLACE   Konada,Contractor,Onsite
2/1/2016,817313,ILBUR V,Contractor,Offshore
2/1/2016,464792,ENDELL  Koduri,Contractor,Onsite
2/1/2016,845696,ILMA    Bellam,Contractor,Onsite
2/1/2016,547468,IRGINILatif,Contractor,Onsite
2/1/2016,738767,IRGI RAMON  Nadimpalli,Contractor,Onsite
2/1/2016,699532,ILMA   Jayabalan,Contractor,Offshore
2/1/2016,644704,IRGINIA   Syed,Contractor,Onsite
2/1/2016,484695,IRGINTirupati,Contractor,Onsite
2/1/2016,353774,ERALDOJohnson,Contractor,Onsite
2/1/2016,350264,ESLEY Dhanuka,Contractor,Onsite
2/1/2016,268150,VONNE  HEATHAnksapuram,Contractor,Onsite
